experiment_id,measurement_number,time_seconds,volume_ml,pressure_kpa,temperature_c,atmospheric_pressure_kpa,pressure_type,source_file,data_origin
pasco_boyle_run_01,1,0.0,60,51.5,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,2,8.5,55,56.6,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,3,16.9,50,61.9,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,4,24.4,45,68.8,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,5,29.6,40,77.1,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,6,34.9,35,88.3,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,7,43.5,30,100.9,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,8,52.5,25,123.0,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,9,60.800000000000004,20,151.6,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_01,10,102.7,15,198.2,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,1,0.0,60,52.3,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,2,3.5,55,56.3,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,3,7.9,50,61.9,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,4,11.5,45,69.4,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,5,15.799999999999999,40,77.6,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,6,20.700000000000003,35,87.8,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,7,26.6,30,101.7,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,8,33.699999999999996,25,123.1,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,9,38.6,20,151.9,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_02,10,44.0,15,198.5,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,1,0.0,60,52.2,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,2,4.499999999999999,55,56.9,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,3,9.3,50,62.3,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,4,13.3,45,69.3,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,5,17.3,40,77.2,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,6,21.5,35,88.2,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,7,25.900000000000002,30,101.8,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,8,30.500000000000004,25,124.7,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,9,34.699999999999996,20,151.3,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_03,10,38.0,15,199.9,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,1,0.0,60,52.1,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,2,4.5,55,56.9,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,3,7.8,50,62.2,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,4,12.5,45,69.6,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,5,17.3,40,77.3,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,6,21.0,35,89.4,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,7,24.900000000000002,30,102.1,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,8,30.3,25,125.0,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,9,35.3,20,151.1,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
pasco_boyle_run_04,10,43.4,15,188.0,22.0,101.325,absolute,real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,real
