feature,importance_mean,importance_std
max_volume_jump_ratio,0.26113558248357177,0.007946986177660901
pv_normalized_slope,0.04272845277431232,0.0109087255610897
temperature_range,0.031438119833618036,0.006757329113476083
temperature_std,0.027884232977031333,0.0063572267852356
pv_range_relative,0.027875871195710267,0.010273614901424451
pressure_std,0.018708322241553655,0.00685047292683636
pv_robust_scale,0.017514165283298123,0.006094405866496238
pv_cv,0.014342572609321346,0.0031199238586461227
volume_mean,0.013582286514005637,0.0025000830027205327
pv_temperature_corr,0.012203440814547406,0.003832020623520266
pv_first_last_change,0.009749307543509955,0.0028819455865164902
volume_std,0.00837480855781909,0.0030435707799828784
pressure_volume_corr,0.007196859873388783,0.004546221939142038
pv_mean,0.005889743422151539,0.0
inverse_fit_r2,0.0038353957836767096,0.00313158754387665
pressure_mean,0.003731795680076555,0.003046998413503365
volume_range,0.0011779486844303078,0.0023558973688606157
pv_std,0.0,0.0
temperature_normalized_slope,0.0,0.0
pressure_inverse_volume_corr,0.0,0.0
temperature_mean,0.0,0.0
max_abs_pressure_residual_relative,0.0,0.0
pressure_residual_robust_scale,0.0,0.0
pressure_range,0.0,0.0
max_pressure_jump_ratio,0.0,0.0
max_temperature_jump,0.0,0.0
inverse_fit_rmse_relative,-0.00485759176287095,0.002483775156825807
