feature,importance_mean,importance_std
second_difference_scale,0.3062620856314119,0.01686016274277081
max_abs_jump,0.14780271910787826,0.021868492298103732
late_residual_mean,0.04570474947252949,0.027134283568565724
mean_abs_jump,0.024266848113687355,0.013527320869023947
residual_normalized_slope,0.02054669533143174,0.025806142764066627
fit_r2,0.018256812163188484,0.0074996269775328825
max_abs_rate,0.018000382617918344,0.009278752137744465
mean_temperature,0.014625761084725863,0.018174980288145286
max_abs_residual,0.013744574871484528,0.004732247917647342
mean_abs_rate,0.01058193639250038,0.008624996086290533
residual_time_corr,0.01039720708759384,0.01630887354938997
residual_std,0.007003540662291119,0.003926204050202913
residual_mean_change,0.006343187160225039,0.005583329522977703
fitted_room_temperature,0.0061939819547171425,0.005607732189325456
early_residual_mean,0.005013595598820153,0.0025067977994100766
std_temperature,0.0012662076157304637,0.0046692747092985714
residual_robust_scale,0.0012533988997050383,0.0025067977994100766
outlier_fraction,0.0003357226018279036,0.005452573978155775
fitted_cooling_coefficient,-0.00039984039168192707,0.003914004465076233
fitted_initial_temperature,-0.0024578333458931565,0.0030104451236992956
average_cooling_rate,-0.004868972648854131,0.00818336395653
fit_rmse,-0.006121241681762579,0.0039048772608197245
temperature_range,-0.006191282746160787,0.003904667773832377
