lab_id,dataset_role,class_name,samples
boyle_mariotte,test,air_leak,40
boyle_mariotte,test,normal,40
boyle_mariotte,test,temperature_change,40
boyle_mariotte,test,volume_measurement_error,40
boyle_mariotte,train,air_leak,80
boyle_mariotte,train,normal,80
boyle_mariotte,train,temperature_change,80
boyle_mariotte,train,volume_measurement_error,80
boyle_mariotte,validation,air_leak,40
boyle_mariotte,validation,normal,40
boyle_mariotte,validation,temperature_change,40
boyle_mariotte,validation,volume_measurement_error,40
cooling,test,high_noise,40
cooling,test,normal,40
cooling,test,sensor_drift,40
cooling,test,single_outlier,40
cooling,train,high_noise,80
cooling,train,normal,80
cooling,train,sensor_drift,80
cooling,train,single_outlier,80
cooling,validation,high_noise,40
cooling,validation,normal,40
cooling,validation,sensor_drift,40
cooling,validation,single_outlier,40
heat_balance,test,heat_loss,40
heat_balance,test,insufficient_mixing,40
heat_balance,test,mass_measurement_error,40
heat_balance,test,normal,40
heat_balance,train,heat_loss,80
heat_balance,train,insufficient_mixing,80
heat_balance,train,mass_measurement_error,80
heat_balance,train,normal,80
heat_balance,validation,heat_loss,40
heat_balance,validation,insufficient_mixing,40
heat_balance,validation,mass_measurement_error,40
heat_balance,validation,normal,40
isochoric,test,air_leak,40
isochoric,test,normal,40
isochoric,test,temperature_sensor_lag,40
isochoric,test,volume_instability,40
isochoric,train,air_leak,80
isochoric,train,normal,80
isochoric,train,temperature_sensor_lag,80
isochoric,train,volume_instability,80
isochoric,validation,air_leak,40
isochoric,validation,normal,40
isochoric,validation,temperature_sensor_lag,40
isochoric,validation,volume_instability,40
