lab_id,random_state,accuracy,balanced_accuracy,macro_f1,protocol
boyle_mariotte,7,0.91875,0.91875,0.919806663924311,same_locked_split_refit_selected_configuration
boyle_mariotte,19,0.9125,0.9125,0.9137557668769419,same_locked_split_refit_selected_configuration
boyle_mariotte,42,0.925,0.9249999999999999,0.9254848019145716,same_locked_split_refit_selected_configuration
boyle_mariotte,73,0.91875,0.91875,0.919806663924311,same_locked_split_refit_selected_configuration
boyle_mariotte,101,0.925,0.925,0.925758317984089,same_locked_split_refit_selected_configuration
cooling,7,0.9,0.9,0.9015308647795036,same_locked_split_refit_selected_configuration
cooling,19,0.90625,0.90625,0.9076826077733519,same_locked_split_refit_selected_configuration
cooling,42,0.875,0.875,0.8758263341596674,same_locked_split_refit_selected_configuration
cooling,73,0.8875,0.8875000000000001,0.8888838906382766,same_locked_split_refit_selected_configuration
cooling,101,0.8875,0.8875,0.8888008662329631,same_locked_split_refit_selected_configuration
heat_balance,7,0.89375,0.8937499999999999,0.8940598424579692,same_locked_split_refit_selected_configuration
heat_balance,19,0.8875,0.8875,0.8873103718967716,same_locked_split_refit_selected_configuration
heat_balance,42,0.8875,0.8875,0.8873103718967716,same_locked_split_refit_selected_configuration
heat_balance,73,0.90625,0.90625,0.9058766233766233,same_locked_split_refit_selected_configuration
heat_balance,101,0.88125,0.8812500000000001,0.8806021090292817,same_locked_split_refit_selected_configuration
isochoric,7,0.99375,0.99375,0.9937490232848882,same_locked_split_refit_selected_configuration
isochoric,19,0.99375,0.99375,0.9937490232848882,same_locked_split_refit_selected_configuration
isochoric,42,0.99375,0.99375,0.9937490232848882,same_locked_split_refit_selected_configuration
isochoric,73,0.99375,0.99375,0.9937490232848882,same_locked_split_refit_selected_configuration
isochoric,101,0.99375,0.99375,0.9937490232848882,same_locked_split_refit_selected_configuration
