row_index,dataset_role,target,generation_group,experiment_id
0,validation,normal,heat_balance_family_0000,HB_00001
1,validation,heat_loss,heat_balance_family_0000,HB_00002
2,validation,mass_measurement_error,heat_balance_family_0000,HB_00003
3,validation,insufficient_mixing,heat_balance_family_0000,HB_00004
4,test,normal,heat_balance_family_0001,HB_00005
5,test,heat_loss,heat_balance_family_0001,HB_00006
6,test,mass_measurement_error,heat_balance_family_0001,HB_00007
7,test,insufficient_mixing,heat_balance_family_0001,HB_00008
8,train,normal,heat_balance_family_0002,HB_00009
9,train,heat_loss,heat_balance_family_0002,HB_00010
10,train,mass_measurement_error,heat_balance_family_0002,HB_00011
11,train,insufficient_mixing,heat_balance_family_0002,HB_00012
12,test,normal,heat_balance_family_0003,HB_00013
13,test,heat_loss,heat_balance_family_0003,HB_00014
14,test,mass_measurement_error,heat_balance_family_0003,HB_00015
15,test,insufficient_mixing,heat_balance_family_0003,HB_00016
16,test,normal,heat_balance_family_0004,HB_00017
17,test,heat_loss,heat_balance_family_0004,HB_00018
18,test,mass_measurement_error,heat_balance_family_0004,HB_00019
19,test,insufficient_mixing,heat_balance_family_0004,HB_00020
20,test,normal,heat_balance_family_0005,HB_00021
21,test,heat_loss,heat_balance_family_0005,HB_00022
22,test,mass_measurement_error,heat_balance_family_0005,HB_00023
23,test,insufficient_mixing,heat_balance_family_0005,HB_00024
24,train,normal,heat_balance_family_0006,HB_00025
25,train,heat_loss,heat_balance_family_0006,HB_00026
26,train,mass_measurement_error,heat_balance_family_0006,HB_00027
27,train,insufficient_mixing,heat_balance_family_0006,HB_00028
28,test,normal,heat_balance_family_0007,HB_00029
29,test,heat_loss,heat_balance_family_0007,HB_00030
30,test,mass_measurement_error,heat_balance_family_0007,HB_00031
31,test,insufficient_mixing,heat_balance_family_0007,HB_00032
32,train,normal,heat_balance_family_0008,HB_00033
33,train,heat_loss,heat_balance_family_0008,HB_00034
34,train,mass_measurement_error,heat_balance_family_0008,HB_00035
35,train,insufficient_mixing,heat_balance_family_0008,HB_00036
36,train,normal,heat_balance_family_0009,HB_00037
37,train,heat_loss,heat_balance_family_0009,HB_00038
38,train,mass_measurement_error,heat_balance_family_0009,HB_00039
39,train,insufficient_mixing,heat_balance_family_0009,HB_00040
40,validation,normal,heat_balance_family_0010,HB_00041
41,validation,heat_loss,heat_balance_family_0010,HB_00042
42,validation,mass_measurement_error,heat_balance_family_0010,HB_00043
43,validation,insufficient_mixing,heat_balance_family_0010,HB_00044
44,train,normal,heat_balance_family_0011,HB_00045
45,train,heat_loss,heat_balance_family_0011,HB_00046
46,train,mass_measurement_error,heat_balance_family_0011,HB_00047
47,train,insufficient_mixing,heat_balance_family_0011,HB_00048
48,validation,normal,heat_balance_family_0012,HB_00049
49,validation,heat_loss,heat_balance_family_0012,HB_00050
50,validation,mass_measurement_error,heat_balance_family_0012,HB_00051
51,validation,insufficient_mixing,heat_balance_family_0012,HB_00052
52,train,normal,heat_balance_family_0013,HB_00053
53,train,heat_loss,heat_balance_family_0013,HB_00054
54,train,mass_measurement_error,heat_balance_family_0013,HB_00055
55,train,insufficient_mixing,heat_balance_family_0013,HB_00056
56,train,normal,heat_balance_family_0014,HB_00057
57,train,heat_loss,heat_balance_family_0014,HB_00058
58,train,mass_measurement_error,heat_balance_family_0014,HB_00059
59,train,insufficient_mixing,heat_balance_family_0014,HB_00060
60,test,normal,heat_balance_family_0015,HB_00061
61,test,heat_loss,heat_balance_family_0015,HB_00062
62,test,mass_measurement_error,heat_balance_family_0015,HB_00063
63,test,insufficient_mixing,heat_balance_family_0015,HB_00064
64,validation,normal,heat_balance_family_0016,HB_00065
65,validation,heat_loss,heat_balance_family_0016,HB_00066
66,validation,mass_measurement_error,heat_balance_family_0016,HB_00067
67,validation,insufficient_mixing,heat_balance_family_0016,HB_00068
68,train,normal,heat_balance_family_0017,HB_00069
69,train,heat_loss,heat_balance_family_0017,HB_00070
70,train,mass_measurement_error,heat_balance_family_0017,HB_00071
71,train,insufficient_mixing,heat_balance_family_0017,HB_00072
72,validation,normal,heat_balance_family_0018,HB_00073
73,validation,heat_loss,heat_balance_family_0018,HB_00074
74,validation,mass_measurement_error,heat_balance_family_0018,HB_00075
75,validation,insufficient_mixing,heat_balance_family_0018,HB_00076
76,train,normal,heat_balance_family_0019,HB_00077
77,train,heat_loss,heat_balance_family_0019,HB_00078
78,train,mass_measurement_error,heat_balance_family_0019,HB_00079
79,train,insufficient_mixing,heat_balance_family_0019,HB_00080
80,validation,normal,heat_balance_family_0020,HB_00081
81,validation,heat_loss,heat_balance_family_0020,HB_00082
82,validation,mass_measurement_error,heat_balance_family_0020,HB_00083
83,validation,insufficient_mixing,heat_balance_family_0020,HB_00084
84,train,normal,heat_balance_family_0021,HB_00085
85,train,heat_loss,heat_balance_family_0021,HB_00086
86,train,mass_measurement_error,heat_balance_family_0021,HB_00087
87,train,insufficient_mixing,heat_balance_family_0021,HB_00088
88,validation,normal,heat_balance_family_0022,HB_00089
89,validation,heat_loss,heat_balance_family_0022,HB_00090
90,validation,mass_measurement_error,heat_balance_family_0022,HB_00091
91,validation,insufficient_mixing,heat_balance_family_0022,HB_00092
92,train,normal,heat_balance_family_0023,HB_00093
93,train,heat_loss,heat_balance_family_0023,HB_00094
94,train,mass_measurement_error,heat_balance_family_0023,HB_00095
95,train,insufficient_mixing,heat_balance_family_0023,HB_00096
96,train,normal,heat_balance_family_0024,HB_00097
97,train,heat_loss,heat_balance_family_0024,HB_00098
98,train,mass_measurement_error,heat_balance_family_0024,HB_00099
99,train,insufficient_mixing,heat_balance_family_0024,HB_00100
100,train,normal,heat_balance_family_0025,HB_00101
101,train,heat_loss,heat_balance_family_0025,HB_00102
102,train,mass_measurement_error,heat_balance_family_0025,HB_00103
103,train,insufficient_mixing,heat_balance_family_0025,HB_00104
104,test,normal,heat_balance_family_0026,HB_00105
105,test,heat_loss,heat_balance_family_0026,HB_00106
106,test,mass_measurement_error,heat_balance_family_0026,HB_00107
107,test,insufficient_mixing,heat_balance_family_0026,HB_00108
108,train,normal,heat_balance_family_0027,HB_00109
109,train,heat_loss,heat_balance_family_0027,HB_00110
110,train,mass_measurement_error,heat_balance_family_0027,HB_00111
111,train,insufficient_mixing,heat_balance_family_0027,HB_00112
112,validation,normal,heat_balance_family_0028,HB_00113
113,validation,heat_loss,heat_balance_family_0028,HB_00114
114,validation,mass_measurement_error,heat_balance_family_0028,HB_00115
115,validation,insufficient_mixing,heat_balance_family_0028,HB_00116
116,train,normal,heat_balance_family_0029,HB_00117
117,train,heat_loss,heat_balance_family_0029,HB_00118
118,train,mass_measurement_error,heat_balance_family_0029,HB_00119
119,train,insufficient_mixing,heat_balance_family_0029,HB_00120
120,train,normal,heat_balance_family_0030,HB_00121
