feature,importance_mean,importance_std
pt_ratio_normalized_slope,0.07008147666268964,0.02664168628757871
pt_ratio_first_last_change,0.0276487638615867,0.005061753159412481
volume_std,0.010001954163217919,0.00306266159176462
residual_normalized_slope,0.0037541044024526292,0.0030652134090482963
pt_ratio_robust_scale,0.0012513681341508765,0.002502736268301753
temperature_range,0.0,0.0
temperature_std,0.0,0.0
pressure_range,0.0,0.0
temperature_mean,0.0,0.0
pressure_std,0.0,0.0
pressure_mean,0.0,0.0
pt_ratio_mean,0.0,0.0
volume_normalized_slope,0.0,0.0
volume_range_relative,0.0,0.0
volume_mean,0.0,0.0
pt_ratio_cv,0.0,0.0
pressure_temperature_corr,0.0,0.0
linear_fit_r2,0.0,0.0
pt_ratio_std,0.0,0.0
fit_rmse_relative,0.0,0.0
residual_robust_scale,0.0,0.0
lagged_corr_max,0.0,0.0
best_lag_fraction,0.0,0.0
max_pressure_jump_relative,0.0,0.0
max_temperature_jump_relative,0.0,0.0
max_volume_jump_relative,0.0,0.0
heating_duration_s,0.0,0.0
