row_index,dataset_role,target,generation_group,experiment_id
0,validation,normal,isochoric_family_0000,IS_00001
1,validation,air_leak,isochoric_family_0000,IS_00002
2,validation,volume_instability,isochoric_family_0000,IS_00003
3,validation,temperature_sensor_lag,isochoric_family_0000,IS_00004
4,test,normal,isochoric_family_0001,IS_00005
5,test,air_leak,isochoric_family_0001,IS_00006
6,test,volume_instability,isochoric_family_0001,IS_00007
7,test,temperature_sensor_lag,isochoric_family_0001,IS_00008
8,train,normal,isochoric_family_0002,IS_00009
9,train,air_leak,isochoric_family_0002,IS_00010
10,train,volume_instability,isochoric_family_0002,IS_00011
11,train,temperature_sensor_lag,isochoric_family_0002,IS_00012
12,test,normal,isochoric_family_0003,IS_00013
13,test,air_leak,isochoric_family_0003,IS_00014
14,test,volume_instability,isochoric_family_0003,IS_00015
15,test,temperature_sensor_lag,isochoric_family_0003,IS_00016
16,test,normal,isochoric_family_0004,IS_00017
17,test,air_leak,isochoric_family_0004,IS_00018
18,test,volume_instability,isochoric_family_0004,IS_00019
19,test,temperature_sensor_lag,isochoric_family_0004,IS_00020
20,test,normal,isochoric_family_0005,IS_00021
21,test,air_leak,isochoric_family_0005,IS_00022
22,test,volume_instability,isochoric_family_0005,IS_00023
23,test,temperature_sensor_lag,isochoric_family_0005,IS_00024
24,train,normal,isochoric_family_0006,IS_00025
25,train,air_leak,isochoric_family_0006,IS_00026
26,train,volume_instability,isochoric_family_0006,IS_00027
27,train,temperature_sensor_lag,isochoric_family_0006,IS_00028
28,test,normal,isochoric_family_0007,IS_00029
29,test,air_leak,isochoric_family_0007,IS_00030
30,test,volume_instability,isochoric_family_0007,IS_00031
31,test,temperature_sensor_lag,isochoric_family_0007,IS_00032
32,train,normal,isochoric_family_0008,IS_00033
33,train,air_leak,isochoric_family_0008,IS_00034
34,train,volume_instability,isochoric_family_0008,IS_00035
35,train,temperature_sensor_lag,isochoric_family_0008,IS_00036
36,train,normal,isochoric_family_0009,IS_00037
37,train,air_leak,isochoric_family_0009,IS_00038
38,train,volume_instability,isochoric_family_0009,IS_00039
39,train,temperature_sensor_lag,isochoric_family_0009,IS_00040
40,validation,normal,isochoric_family_0010,IS_00041
41,validation,air_leak,isochoric_family_0010,IS_00042
42,validation,volume_instability,isochoric_family_0010,IS_00043
43,validation,temperature_sensor_lag,isochoric_family_0010,IS_00044
44,train,normal,isochoric_family_0011,IS_00045
45,train,air_leak,isochoric_family_0011,IS_00046
46,train,volume_instability,isochoric_family_0011,IS_00047
47,train,temperature_sensor_lag,isochoric_family_0011,IS_00048
48,validation,normal,isochoric_family_0012,IS_00049
49,validation,air_leak,isochoric_family_0012,IS_00050
50,validation,volume_instability,isochoric_family_0012,IS_00051
51,validation,temperature_sensor_lag,isochoric_family_0012,IS_00052
52,train,normal,isochoric_family_0013,IS_00053
53,train,air_leak,isochoric_family_0013,IS_00054
54,train,volume_instability,isochoric_family_0013,IS_00055
55,train,temperature_sensor_lag,isochoric_family_0013,IS_00056
56,train,normal,isochoric_family_0014,IS_00057
57,train,air_leak,isochoric_family_0014,IS_00058
58,train,volume_instability,isochoric_family_0014,IS_00059
59,train,temperature_sensor_lag,isochoric_family_0014,IS_00060
60,test,normal,isochoric_family_0015,IS_00061
61,test,air_leak,isochoric_family_0015,IS_00062
62,test,volume_instability,isochoric_family_0015,IS_00063
63,test,temperature_sensor_lag,isochoric_family_0015,IS_00064
64,validation,normal,isochoric_family_0016,IS_00065
65,validation,air_leak,isochoric_family_0016,IS_00066
66,validation,volume_instability,isochoric_family_0016,IS_00067
67,validation,temperature_sensor_lag,isochoric_family_0016,IS_00068
68,train,normal,isochoric_family_0017,IS_00069
69,train,air_leak,isochoric_family_0017,IS_00070
70,train,volume_instability,isochoric_family_0017,IS_00071
71,train,temperature_sensor_lag,isochoric_family_0017,IS_00072
72,validation,normal,isochoric_family_0018,IS_00073
73,validation,air_leak,isochoric_family_0018,IS_00074
74,validation,volume_instability,isochoric_family_0018,IS_00075
75,validation,temperature_sensor_lag,isochoric_family_0018,IS_00076
76,train,normal,isochoric_family_0019,IS_00077
77,train,air_leak,isochoric_family_0019,IS_00078
78,train,volume_instability,isochoric_family_0019,IS_00079
79,train,temperature_sensor_lag,isochoric_family_0019,IS_00080
80,validation,normal,isochoric_family_0020,IS_00081
81,validation,air_leak,isochoric_family_0020,IS_00082
82,validation,volume_instability,isochoric_family_0020,IS_00083
83,validation,temperature_sensor_lag,isochoric_family_0020,IS_00084
84,train,normal,isochoric_family_0021,IS_00085
85,train,air_leak,isochoric_family_0021,IS_00086
86,train,volume_instability,isochoric_family_0021,IS_00087
87,train,temperature_sensor_lag,isochoric_family_0021,IS_00088
88,validation,normal,isochoric_family_0022,IS_00089
89,validation,air_leak,isochoric_family_0022,IS_00090
90,validation,volume_instability,isochoric_family_0022,IS_00091
91,validation,temperature_sensor_lag,isochoric_family_0022,IS_00092
92,train,normal,isochoric_family_0023,IS_00093
93,train,air_leak,isochoric_family_0023,IS_00094
94,train,volume_instability,isochoric_family_0023,IS_00095
95,train,temperature_sensor_lag,isochoric_family_0023,IS_00096
96,train,normal,isochoric_family_0024,IS_00097
97,train,air_leak,isochoric_family_0024,IS_00098
98,train,volume_instability,isochoric_family_0024,IS_00099
99,train,temperature_sensor_lag,isochoric_family_0024,IS_00100
100,train,normal,isochoric_family_0025,IS_00101
101,train,air_leak,isochoric_family_0025,IS_00102
102,train,volume_instability,isochoric_family_0025,IS_00103
103,train,temperature_sensor_lag,isochoric_family_0025,IS_00104
104,test,normal,isochoric_family_0026,IS_00105
105,test,air_leak,isochoric_family_0026,IS_00106
106,test,volume_instability,isochoric_family_0026,IS_00107
107,test,temperature_sensor_lag,isochoric_family_0026,IS_00108
108,train,normal,isochoric_family_0027,IS_00109
109,train,air_leak,isochoric_family_0027,IS_00110
110,train,volume_instability,isochoric_family_0027,IS_00111
