source_file,table_name,lab,format,rows,columns,numeric_columns,missing_cells,missing_percent,duplicate_rows,column_names,concepts_found,required_concepts,suitability,notes
real_data_raw/boyle_mariotte/pasco_607/Экспортированные данные.csv,,boyle_mariotte,csv,10,16,12,0,0.0,0,Дата и Время Run 1 | время (сек) Run 1 | Давление (кПа) Run 1 | Volume (mL) Run 1 | Дата и Время Run 2 | время (сек) Run 2 | Давление (кПа) Run 2 | Volume (mL) Run 2 | Дата и Время Run 3 | время (сек) Run 3 | Давление (кПа) Run 3 | Volume (mL) Run 3 | Дата и Время Run 4 | время (сек) Run 4 | Давление (кПа) Run 4 | Volume (mL) Run 4,pressure | time | volume,pressure | volume,suitable,Найдены все основные физические величины.
real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,cooling,excel,78,16,0,0,0.0,0,Time | T_out | T_in | T1 | T2 | T3 | T4 | T5 | T6 | T7 | T8 | T9 | T10 | T_ambient | Flowrate | Pressure,pressure | time,temperature | time,partial,Найдена только часть величин. Не обнаружено: temperature. Заголовок определён по строке 1.
real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,cooling,excel,129,17,0,0,0.0,0,Time | Flowrate | T_out | T_in | T1 | T2 | T3 | T4 | T5 | T6 | T7 | T8 | T9 | T10 | T_ambient | T_PCM | Pressure,pressure | time,temperature | time,partial,Найдена только часть величин. Не обнаружено: temperature. Заголовок определён по строке 1.
real_data_raw/heat_balance/experiment_25/heat_balance_real_experiment_25.csv,,heat_balance,csv,14,8,6,0,0.0,0,experiment_id | measurement_id | time_s | temperature_water_c | initial_water_temperature_c | initial_metal_temperature_c | extrapolated_equilibrium_temperature_c | source,temperature | time,temperature | time,suitable,Найдены все основные физические величины.
real_data_raw/isochoric/virginia_tech/isochoric_virginia_tech_real.csv,,isochoric,csv,12,9,7,0,0.0,0,experiment_id | measurement_id | pressure_voltage_v | temperature_voltage_v | pressure_absolute_kpa | temperature_measured_k | temperature_ideal_k | temperature_measured_c | source,pressure | temperature | volume,pressure | temperature,suitable,Найдены все основные физические величины.
real_data_raw/sensor_noise/zenodo_15130001/Preprocessed.zip,SENSOR01_preprocessed.csv,sensor_noise,zip_csv,156835,4,2,1932,0.308,0,Date | Time | Temperature | Humidity,humidity | temperature | time,temperature | time,suitable,Найдены все основные физические величины.
real_data_raw/sensor_noise/zenodo_15130001/Preprocessed.zip,SENSOR02_preprocessed.csv,sensor_noise,zip_csv,156835,4,2,0,0.0,0,Date | Time | Temperature | Humidity,humidity | temperature | time,temperature | time,suitable,Найдены все основные физические величины.
real_data_raw/sensor_noise/zenodo_15130001/Preprocessed.zip,SENSOR03_preprocessed.csv,sensor_noise,zip_csv,156835,4,2,144782,23.079,0,Date | Time | Temperature | Humidity,humidity | temperature | time,temperature | time,suitable,Найдены все основные физические величины.
real_data_raw/sensor_noise/zenodo_15130001/Preprocessed.zip,SENSOR04_preprocessed.csv,sensor_noise,zip_csv,156835,4,2,11334,1.807,0,Date | Time | Temperature | Humidity,humidity | temperature | time,temperature | time,suitable,Найдены все основные физические величины.
real_data_raw/sensor_noise/zenodo_15130001/Preprocessed.zip,SENSOR05_preprocessed.csv,sensor_noise,zip_csv,156835,4,2,251468,40.085,0,Date | Time | Temperature | Humidity,humidity | temperature | time,temperature | time,suitable,Найдены все основные физические величины.
